FareType	DollarFare	PointsFare
POINTS	171.1	7400
LOWEST	507.55	0
POINTS	507.55	52000
LOWEST	480.85	0
POINTS	480.85	44500
LOWEST	846.8	0
POINTS	846.8	77700
LOWEST	118.1	0
POINTS	118.1	6700
LOWEST	181.4	0
POINTS	181.4	10400
LOWEST	169.82	0
POINTS	169.82	8600
LOWEST	284.2	0
POINTS	284.2	23500
LOWEST	158.2	0
POINTS	158.2	10700
LOWEST	659.06	0
POINTS	659.06	48100
LOWEST	507.46	0
POINTS	507.46	49800
LOWEST	624.59	0
POINTS	624.59	47900
LOWEST	392.58	0
POINTS	392.58	33200
LOWEST	293.3	0
POINTS	293.3	22500
LOWEST	175.19	0
POINTS	175.19	12000
LOWEST	130.1	0
POINTS	130.1	7600
LOWEST	347.5	0
POINTS	347.5	24600
LOWEST	325.2	0
POINTS	325.2	27100
LOWEST	129.2	0
POINTS	129.2	8600
LOWEST	75.2	0
POINTS	75.2	4600
LOWEST	159	0
LOWEST	997.24	0
POINTS	997.24	99500
LOWEST	277.54	0
POINTS	277.54	22900
LOWEST	507.46	0
POINTS	507.46	49800
LOWEST	755.76	0
LOWEST	346.2	0
POINTS	346.2	35000
LOWEST	150.2	0
POINTS	150.2	10100
LOWEST	433.56	0
POINTS	433.56	27000
LOWEST	1008.56	0
POINTS	1008.56	82400
LOWEST	267.4	0
POINTS	267.4	15500
LOWEST	679.26	0
POINTS	679.26	48000
LOWEST	221.2	0
POINTS	221.2	16600
LOWEST	461.29	0
POINTS	461.29	47100
LOWEST	467.29	0
POINTS	467.29	41600
LOWEST	204.1	0
POINTS	204.1	13100
LOWEST	205.99	0
POINTS	205.99	14300
LOWEST	226.1	0
POINTS	226.1	13600
LOWEST	1076.96	0
POINTS	1076.96	88500
LOWEST	564.56	0
POINTS	564.56	44400
LOWEST	38.2	0
POINTS	38.2	1800
LOWEST	413.24	0
POINTS	413.24	38100
LOWEST	613.26	0
POINTS	599.06	37900
LOWEST	176.1	0
POINTS	176.1	7800
LOWEST	221.19	0
POINTS	221.19	15400
LOWEST	330.44	0
POINTS	330.44	30200
LOWEST	284.44	0
POINTS	284.44	21700
LOWEST	263.4	0
POINTS	263.4	15200
LOWEST	224.6	0
POINTS	224.6	14500
LOWEST	827.96	0
POINTS	827.96	79600
LOWEST	243.94	0
POINTS	243.94	17100
LOWEST	743.96	0
POINTS	743.96	70800
LOWEST	507.46	0
POINTS	507.46	47200
LOWEST	352.8	0
POINTS	352.8	19600
LOWEST	744.59	0
POINTS	744.59	65500
LOWEST	970.96	0
POINTS	970.96	99700
LOWEST	272.2	0
POINTS	272.2	19200
LOWEST	365.84	0
POINTS	365.84	30600
LOWEST	372.99	0
POINTS	372.99	28800
LOWEST	295.69	0
POINTS	295.69	20900
LOWEST	304.2	0
POINTS	304.2	27700
LOWEST	138.82	0
POINTS	138.82	6300
LOWEST	330.44	0
POINTS	330.44	30200
LOWEST	437.4	0
POINTS	437.4	40400
LOWEST	117.82	0
POINTS	117.82	4700
LOWEST	359.2	0
POINTS	278.2	21200
LOWEST	293.65	0
POINTS	293.65	22400
LOWEST	238.2	0
POINTS	238.2	16600
LOWEST	1184.76	0
POINTS	1184.76	111900
LOWEST	404.89	0
POINTS	404.89	35300
LOWEST	396.96	0
POINTS	396.96	22800
LOWEST	145.1	0
POINTS	145.1	6900
LOWEST	473.91	0
POINTS	473.91	36600
LOWEST	128.55	0
POINTS	128.55	8800
LOWEST	556.76	0
POINTS	556.76	33000
LOWEST	300.55	0
POINTS	300.55	21300
LOWEST	882.29	0
POINTS	882.29	83600
LOWEST	475.16	0
POINTS	475.16	31500
LOWEST	330.44	0
POINTS	330.44	25300
LOWEST	448.2	0
POINTS	448.2	45700
LOWEST	738.59	0
POINTS	738.59	64900
LOWEST	400.2	0
POINTS	400.2	40700
LOWEST	222.46	0
POINTS	222.46	8800
LOWEST	343.99	0
POINTS	343.99	26400
LOWEST	149.2	0
POINTS	149.2	10000
LOWEST	979.03	0
POINTS	979.03	91200
LOWEST	600.44	0
POINTS	600.44	61800
LOWEST	359.2	0
POINTS	359.2	32900
LOWEST	234.2	0
POINTS	234.2	19200
LOWEST	354.96	0
POINTS	354.96	22700
LOWEST	58.2	0
POINTS	58.2	3300
LOWEST	789.69	0
LOWEST	124.05	0
POINTS	124.05	8800
LOWEST	146.2	0
POINTS	146.2	9800
LOWEST	67.2	0
POINTS	67.2	4000
LOWEST	221.2	0
POINTS	221.2	16600
LOWEST	189	0
LOWEST	144.48	0
POINTS	144.48	10000
LOWEST	391.1	0
POINTS	391.1	25800
LOWEST	39.2	0
POINTS	39.2	1900
LOWEST	63.2	0
POINTS	63.2	3700
LOWEST	464.8	0
POINTS	464.8	34000
LOWEST	254.29	0
POINTS	254.29	17800
LOWEST	104.1	0
POINTS	104.1	5700
LOWEST	449.2	0
POINTS	449.2	41500
LOWEST	533.96	0
POINTS	533.96	36600
LOWEST	440.46	0
POINTS	440.46	40200
LOWEST	234.99	0
POINTS	234.99	16400
LOWEST	167.2	0
POINTS	167.2	11400
LOWEST	647.85	0
POINTS	647.85	66700
LOWEST	448.2	0
POINTS	448.2	45700
LOWEST	789.36	0
POINTS	789.36	60600
LOWEST	123.21	0
POINTS	123.21	8100
LOWEST	260.2	0
POINTS	260.2	21400
LOWEST	213.2	0
POINTS	213.2	14800
LOWEST	295.1	0
POINTS	295.1	19800
LOWEST	576.54	0
POINTS	576.54	53600
LOWEST	589.2	0
POINTS	589.2	60600
LOWEST	421.29	0
POINTS	421.29	38800
LOWEST	202.8	0
POINTS	202.8	14000
LOWEST	450.05	0
POINTS	450.05	37900
LOWEST	449.2	0
POINTS	449.2	41500
LOWEST	111.4	0
POINTS	111.4	5200
LOWEST	124.2	0
POINTS	124.2	8200
LOWEST	241.74	0
POINTS	241.74	17200
LOWEST	348.59	0
POINTS	273.2	20800
LOWEST	134.2	0
POINTS	134.2	8900
LOWEST	411.84	0
POINTS	411.84	31900
LOWEST	170.1	0
POINTS	170.1	10600
LOWEST	133.2	0
POINTS	133.2	8900
LOWEST	428.98	0
POINTS	428.98	36100
LOWEST	251.1	0
POINTS	251.1	17600
LOWEST	267.19	0
POINTS	267.19	20300
LOWEST	400.34	0
POINTS	400.34	36800
LOWEST	72.98	0
POINTS	72.98	4400
LOWEST	506.2	0
POINTS	506.2	51800
LOWEST	415.54	0
POINTS	415.54	38300
LOWEST	137.2	0
POINTS	137.2	9200
LOWEST	179.79	0
POINTS	179.79	12300
LOWEST	53.2	0
POINTS	53.2	2900
LOWEST	369.54	0
POINTS	369.54	30900
LOWEST	187.2	0
POINTS	187.2	12900
LOWEST	558.15	0
POINTS	558.15	51900
LOWEST	290.2	0
POINTS	290.2	24000
LOWEST	305.15	0
POINTS	305.15	21600
LOWEST	225.2	0
POINTS	225.2	18400
LOWEST	137.2	0
POINTS	137.2	9200
LOWEST	233.84	0
POINTS	233.84	17600
LOWEST	160.2	0
POINTS	160.2	10900
LOWEST	539.75	0
POINTS	539.75	55400
LOWEST	191.2	0
POINTS	191.2	13200
LOWEST	298.2	0
POINTS	298.2	22800
LOWEST	256.59	0
POINTS	256.59	10000
LOWEST	314.1	0
POINTS	314.1	21200
LOWEST	48.98	0
POINTS	48.98	2600
LOWEST	188.1	0
POINTS	188.1	11900
LOWEST	463.2	0
POINTS	463.2	42800
LOWEST	366.1	0
POINTS	366.1	25900
LOWEST	147.2	0
POINTS	147.2	10700
LOWEST	97.2	0
POINTS	97.2	6200
LOWEST	255.7	0
POINTS	255.7	19400
LOWEST	96.2	0
POINTS	96.2	6100
LOWEST	298.2	0
POINTS	298.2	22800
LOWEST	281.2	0
POINTS	281.2	19800
LOWEST	81.2	0
POINTS	81.2	5000
LOWEST	324.2	0
POINTS	324.2	29600
LOWEST	151.1	0
POINTS	151.1	9200
LOWEST	260.3	0
POINTS	260.3	18300
LOWEST	920.56	0
POINTS	920.56	76700
LOWEST	222.98	0
POINTS	222.98	15500
LOWEST	48.2	0
POINTS	48.2	2600
LOWEST	433.2	0
POINTS	433.2	40000
LOWEST	527.1	0
POINTS	527.1	51500
LOWEST	66.2	0
POINTS	66.2	3900
LOWEST	337.09	0
POINTS	337.09	25900
LOWEST	176.2	0
POINTS	176.2	13000
LOWEST	289.94	0
POINTS	289.94	20500
LOWEST	675.76	0
POINTS	675.76	47700
LOWEST	378.74	0
POINTS	378.74	31700
LOWEST	74.2	0
POINTS	74.2	4500
LOWEST	347.7	0
POINTS	347.7	29000
LOWEST	91.2	0
POINTS	91.2	5800
LOWEST	112.2	0
POINTS	112.2	7300
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	261.2	0
POINTS	261.2	21500
LOWEST	259.1	0
POINTS	259.1	13900
POINTS	822.99	77600
LOWEST	107.2	0
POINTS	107.2	6900
LOWEST	252.25	0
POINTS	252.25	17700
LOWEST	278.2	0
POINTS	278.2	23000
LOWEST	323.54	0
POINTS	323.54	29500
LOWEST	405.2	0
POINTS	405.2	34000
LOWEST	268.09	0
POINTS	268.09	18900
LOWEST	133.2	0
POINTS	133.2	8900
LOWEST	88.2	0
POINTS	88.2	6000
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	194.75	0
POINTS	194.75	13400
LOWEST	74.2	0
POINTS	74.2	4500
LOWEST	275.24	0
POINTS	275.24	22700
LOWEST	202.8	0
POINTS	202.8	14000
LOWEST	258.2	0
POINTS	258.2	18100
LOWEST	79.21	0
POINTS	79.21	4900
LOWEST	318.2	0
POINTS	318.2	26500
LOWEST	234.99	0
POINTS	234.99	16400
LOWEST	260.3	0
POINTS	260.3	21400
LOWEST	274.09	0
POINTS	274.09	20800
LOWEST	801.95	0
POINTS	801.95	87600
LOWEST	358.95	0
POINTS	358.95	30000
LOWEST	570.79	0
POINTS	570.79	61900
LOWEST	99.2	0
POINTS	99.2	6300
LOWEST	398.2	0
POINTS	398.2	36600
LOWEST	531.2	0
POINTS	531.2	54500
LOWEST	258.2	0
POINTS	258.2	18100
LOWEST	164.19	0
POINTS	164.19	11200
LOWEST	143.2	0
POINTS	143.2	9600
LOWEST	113.2	0
POINTS	113.2	7400
LOWEST	353.2	0
POINTS	353.2	27200
LOWEST	300.55	0
POINTS	300.55	21300
LOWEST	130.2	0
POINTS	130.2	8600
LOWEST	372.99	0
POINTS	372.99	28800
LOWEST	180.2	0
POINTS	180.2	12300
LOWEST	68.98	0
POINTS	68.98	4100
LOWEST	225.79	0
POINTS	225.79	18400
LOWEST	220.2	0
POINTS	220.2	15300
LOWEST	234.2	0
POINTS	234.2	16300
LOWEST	165.21	0
POINTS	165.21	11200
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	565.04	0
POINTS	565.04	58000
LOWEST	421.29	0
POINTS	421.29	38800
LOWEST	448.55	0
POINTS	448.55	37900
LOWEST	238.1	0
POINTS	238.1	14500
LOWEST	163.2	0
POINTS	163.2	11100
LOWEST	347.2	0
POINTS	347.2	29000
LOWEST	373.4	0
POINTS	373.4	23300
LOWEST	204.1	0
POINTS	204.1	13100
LOWEST	139.98	0
POINTS	139.98	9400
LOWEST	110.8	0
POINTS	110.8	7200
LOWEST	290.2	0
POINTS	290.2	24000
LOWEST	449.2	0
POINTS	449.2	41500
LOWEST	372.99	0
POINTS	372.99	34200
LOWEST	313.2	0
POINTS	313.2	22200
LOWEST	57.2	0
POINTS	57.2	3200
LOWEST	114.2	0
POINTS	114.2	7500
LOWEST	258.2	0
POINTS	258.2	18100
LOWEST	132.2	0
POINTS	132.2	8800
LOWEST	282.25	0
POINTS	282.25	20400
LOWEST	172.89	0
POINTS	172.89	11800
LOWEST	250.84	0
POINTS	250.84	17600
LOWEST	371.84	0
POINTS	371.84	28700
LOWEST	198.2	0
POINTS	198.2	13700
LOWEST	117.2	0
POINTS	117.2	7700
LOWEST	225.4	0
POINTS	225.4	12300
LOWEST	152.2	0
POINTS	152.2	10300
LOWEST	530.54	0
POINTS	530.54	54400
LOWEST	284.1	0
POINTS	284.1	22300
LOWEST	400.2	0
POINTS	400.2	36800
LOWEST	307.2	0
POINTS	307.2	21800
LOWEST	286.76	0
LOWEST	319.2	0
POINTS	319.2	22600
LOWEST	363.2	0
POINTS	363.2	28000
LOWEST	230.1	0
POINTS	230.1	13900
LOWEST	372.2	0
POINTS	372.2	34100
LOWEST	53.2	0
POINTS	53.2	2900
LOWEST	321.2	0
POINTS	321.2	22800
LOWEST	646.2	0
POINTS	646.2	66600
LOWEST	308.98	0
POINTS	308.98	21900
LOWEST	365.84	0
POINTS	365.84	26100
LOWEST	254.55	0
POINTS	254.55	17900
LOWEST	304.1	0
POINTS	304.1	22100
LOWEST	658.06	0
POINTS	658.06	46200
LOWEST	217.4	0
POINTS	217.4	11800
LOWEST	475.1	0
POINTS	475.1	40100
LOWEST	421.29	0
POINTS	421.29	38800
LOWEST	338.6	0
POINTS	338.6	27000
LOWEST	221.3	0
POINTS	221.3	15500
LOWEST	279.95	0
POINTS	279.95	18700
LOWEST	604.96	0
POINTS	604.96	38300
LOWEST	398.3	0
POINTS	398.3	40500
LOWEST	226.7	0
POINTS	226.7	17000
LOWEST	300.1	0
POINTS	300.1	20200
LOWEST	199.6	0
POINTS	199.6	12600
LOWEST	670.51	0
POINTS	670.51	44700
LOWEST	316.2	0
POINTS	316.2	22400
LOWEST	291.09	0
POINTS	291.09	20600
LOWEST	345.4	0
POINTS	345.4	24600
LOWEST	432.79	0
POINTS	432.79	36400
LOWEST	522.19	0
POINTS	522.19	26800
LOWEST	633.28	0
POINTS	633.28	54500
LOWEST	782.06	0
POINTS	782.06	60200
LOWEST	227.1	0
POINTS	227.1	14800
LOWEST	231.75	0
POINTS	231.75	15500
POINTS	755.76	58000
LOWEST	206.1	0
POINTS	206.1	13200
LOWEST	204.1	0
POINTS	204.1	13100
LOWEST	668.66	0
POINTS	668.66	47100
LOWEST	183.6	0
POINTS	183.6	11900
LOWEST	622.66	0
POINTS	622.66	47900
LOWEST	188.05	0
POINTS	188.05	12200
LOWEST	654.36	0
POINTS	654.36	49200
LOWEST	112.2	0
POINTS	112.2	7300
LOWEST	298.35	0
POINTS	298.35	20100
LOWEST	332.74	0
POINTS	332.74	27700
LOWEST	203.2	0
POINTS	203.2	16500
LOWEST	584.86	0
POINTS	584.86	36800
LOWEST	181.2	0
POINTS	181.2	12400
LOWEST	96.2	0
POINTS	96.2	6100
LOWEST	173.6	0
POINTS	173.6	11200
LOWEST	87.2	0
POINTS	87.2	5500
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	307.4	0
POINTS	307.4	23700
LOWEST	114.2	0
POINTS	114.2	7500
LOWEST	48.2	0
POINTS	48.2	2600
LOWEST	206.2	0
POINTS	206.2	14300
LOWEST	48.2	0
POINTS	48.2	2600
LOWEST	84.2	0
POINTS	84.2	5200
LOWEST	148.2	0
POINTS	148.2	10000
LOWEST	177.49	0
POINTS	177.49	12100
LOWEST	63.2	0
POINTS	63.2	3700
LOWEST	139.2	0
POINTS	139.2	9300
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	79.21	0
POINTS	79.21	4900
LOWEST	178.2	0
POINTS	178.2	12200
LOWEST	181.98	0
POINTS	181.98	12500
LOWEST	169.2	0
POINTS	169.2	11500
LOWEST	134.2	0
POINTS	134.2	8900
LOWEST	124.98	0
POINTS	124.98	8300
LOWEST	192.1	0
POINTS	192.1	8900
LOWEST	104.2	0
POINTS	104.2	6700
LOWEST	152.2	0
POINTS	152.2	10300
LOWEST	93.2	0
POINTS	93.2	5900
LOWEST	191.2	0
POINTS	191.2	13200
LOWEST	108.2	0
POINTS	108.2	7000
LOWEST	48.98	0
POINTS	48.98	2600
LOWEST	48.2	0
POINTS	48.2	2600
LOWEST	48.2	0
POINTS	48.2	2600
LOWEST	301.7	0
POINTS	301.7	25000
LOWEST	304.2	0
POINTS	304.2	27700
LOWEST	335.1	0
POINTS	335.1	22800
LOWEST	199.2	0
POINTS	199.2	13800
LOWEST	164.19	0
POINTS	164.19	11200
LOWEST	87.2	0
POINTS	87.2	5500
LOWEST	258.2	0
POINTS	258.2	18100
LOWEST	365.16	0
POINTS	365.16	26600
LOWEST	297.1	0
POINTS	297.1	20100
LOWEST	222.1	0
POINTS	222.1	11200
LOWEST	113.2	0
POINTS	113.2	7400
LOWEST	267.19	0
POINTS	267.19	20300
LOWEST	91.2	0
POINTS	91.2	5800
LOWEST	93.1	0
POINTS	93.1	4900
LOWEST	151.05	0
POINTS	151.05	10200
LOWEST	353.2	0
POINTS	353.2	27200
LOWEST	249.1	0
POINTS	249.1	17700
LOWEST	218.6	0
POINTS	218.6	13200
LOWEST	73.2	0
POINTS	73.2	4400
LOWEST	155.65	0
POINTS	155.65	10500
LOWEST	123.1	0
POINTS	123.1	7100
LOWEST	684.36	0
POINTS	684.36	46800
LOWEST	176.1	0
POINTS	176.1	10300
LOWEST	113.2	0
POINTS	113.2	7400
LOWEST	135.2	0
POINTS	135.2	9000
LOWEST	134.2	0
POINTS	134.2	8900
LOWEST	306.3	0
POINTS	306.3	23400
LOWEST	246.2	0
POINTS	246.2	20200
LOWEST	485.86	0
POINTS	485.86	34100
LOWEST	71.2	0
POINTS	71.2	4300
LOWEST	199.6	0
POINTS	199.6	12600
LOWEST	187.1	0
POINTS	187.1	11800
LOWEST	167.4	0
POINTS	167.4	8000
LOWEST	232.4	0
POINTS	232.4	12900
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	155.2	0
POINTS	155.2	10500
LOWEST	352.3	0
POINTS	352.3	27100
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	63.2	0
POINTS	63.2	3700
LOWEST	98.1	0
POINTS	98.1	3400
LOWEST	212.2	0
POINTS	212.2	14700
LOWEST	370.1	0
POINTS	370.1	26200
LOWEST	118.2	0
POINTS	118.2	7800
LOWEST	436.58	0
POINTS	436.58	34100
LOWEST	375.4	0
POINTS	375.4	25800
LOWEST	299.5	0
POINTS	299.5	19800
LOWEST	385.39	0
POINTS	385.39	32300
LOWEST	242.2	0
POINTS	242.2	16900
LOWEST	63.2	0
POINTS	63.2	3700
LOWEST	228.2	0
POINTS	228.2	15900
LOWEST	166.21	0
POINTS	166.21	11300
LOWEST	191.2	0
POINTS	191.2	13200
LOWEST	140.2	0
POINTS	140.2	9400
LOWEST	157.69	0
POINTS	157.69	10700
LOWEST	409.8	0
POINTS	409.8	41700
LOWEST	339.82	0
POINTS	339.82	30000
LOWEST	339.1	0
POINTS	339.1	23100
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	400.1	0
POINTS	400.1	31100
LOWEST	204.96	0
POINTS	204.96	5200
LOWEST	173.1	0
POINTS	173.1	7500
LOWEST	117.1	0
POINTS	117.1	4800
LOWEST	95.2	0
POINTS	95.2	6000
LOWEST	43.2	0
POINTS	43.2	2200
LOWEST	164.19	0
POINTS	164.19	11200
LOWEST	213.59	0
POINTS	213.59	6800
LOWEST	589.2	0
POINTS	589.2	60600
LOWEST	314.1	0
POINTS	314.1	21200
LOWEST	92.1	0
POINTS	92.1	6100
LOWEST	95.2	0
POINTS	95.2	6000
LOWEST	417.84	0
POINTS	417.84	29900
LOWEST	569.64	0
POINTS	569.64	52900
LOWEST	118.2	0
POINTS	118.2	7800
LOWEST	201.65	0
POINTS	201.65	13900
LOWEST	300.1	0
POINTS	300.1	20200
LOWEST	159.1	0
POINTS	159.1	7900
LOWEST	302.85	0
POINTS	302.85	21400
LOWEST	130.82	0
POINTS	130.82	5700
LOWEST	267.4	0
POINTS	267.4	15500
LOWEST	148.2	0
POINTS	148.2	10000
LOWEST	118.1	0
POINTS	118.1	6700
LOWEST	298.59	0
POINTS	298.59	15400
LOWEST	110.2	0
POINTS	110.2	7200
LOWEST	99.2	0
POINTS	99.2	6300
LOWEST	407.28	0
POINTS	407.28	27800
LOWEST	333.1	0
POINTS	333.1	26600
LOWEST	350.6	0
POINTS	350.6	23000
LOWEST	434.1	0
POINTS	432.1	35200
LOWEST	157.3	0
POINTS	157.3	11000
LOWEST	101.2	0
POINTS	101.2	6500
LOWEST	102.2	0
POINTS	102.2	6600
LOWEST	163.1	0
POINTS	163.1	8200
LOWEST	459.86	0
POINTS	459.86	33400
LOWEST	63.2	0
POINTS	63.2	3700
LOWEST	192.4	0
POINTS	192.4	9900
LOWEST	251.21	0
POINTS	251.21	17600
LOWEST	245.35	0
POINTS	245.35	17200
LOWEST	367.24	0
POINTS	367.24	30700
LOWEST	447.59	0
POINTS	447.59	26000
LOWEST	461.46	0
POINTS	461.46	44700
LOWEST	289.3	0
POINTS	289.3	17600
LOWEST	38.2	0
POINTS	38.2	1800
LOWEST	101.7	0
POINTS	101.7	6600
LOWEST	293.79	0
POINTS	293.79	18400
LOWEST	101.1	0
POINTS	101.1	5500
LOWEST	92.2	0
POINTS	92.2	5800
LOWEST	151.2	0
POINTS	151.2	10200
LOWEST	169	0
LOWEST	169.4	0
POINTS	169.4	8200
LOWEST	68.1	0
POINTS	68.1	3000
LOWEST	116.1	0
POINTS	116.1	6600
LOWEST	128.04	0
POINTS	128.04	8500
LOWEST	204.1	0
POINTS	204.1	13100
LOWEST	159	0
LOWEST	123.4	0
POINTS	123.4	6100
LOWEST	316.64	0
POINTS	316.64	22500
LOWEST	596.81	0
POINTS	596.81	47800
LOWEST	152.2	0
POINTS	152.2	10300
LOWEST	188.6	0
POINTS	188.6	12300
LOWEST	384.46	0
POINTS	384.46	34300
LOWEST	73.2	0
POINTS	73.2	4400
LOWEST	146.1	0
POINTS	146.1	8000
LOWEST	238.2	0
POINTS	238.2	16600
LOWEST	359.2	0
POINTS	278.2	21200
LOWEST	272.2	0
POINTS	272.2	19200
LOWEST	115.2	0
POINTS	115.2	7500
LOWEST	147.2	0
POINTS	147.2	9900
LOWEST	171.1	0
POINTS	171.1	7400
LOWEST	300.55	0
POINTS	300.55	21300
LOWEST	480.85	0
POINTS	480.85	44500
LOWEST	668.8	0
POINTS	668.8	59000
LOWEST	94.4	0
POINTS	94.4	4000
LOWEST	233.82	0
POINTS	233.82	13300
LOWEST	209.43	0
POINTS	209.43	14500
LOWEST	137.2	0
POINTS	137.2	9200
LOWEST	506.13	0
POINTS	506.13	51800
LOWEST	545.59	0
POINTS	545.59	36800
LOWEST	392.58	0
POINTS	392.58	33200
LOWEST	230.04	0
POINTS	230.04	16100
LOWEST	193.5	0
LOWEST	109.2	0
POINTS	109.2	7100
LOWEST	289.05	0
POINTS	289.05	20400
LOWEST	87.2	0
POINTS	87.2	5500
LOWEST	276.2	0
POINTS	276.2	21000
LOWEST	103.2	0
POINTS	103.2	6600
LOWEST	68.2	0
POINTS	68.2	4000
LOWEST	123.1	0
POINTS	123.1	5200
LOWEST	75.2	0
POINTS	75.2	4600
LOWEST	680.24	0
POINTS	680.24	60900
LOWEST	208.55	0
POINTS	208.55	14400
LOWEST	58.2	0
POINTS	58.2	3300
LOWEST	507.46	0
POINTS	507.46	49800
LOWEST	578.59	0
POINTS	578.59	43700
LOWEST	284.44	0
POINTS	284.44	20100
LOWEST	63.2	0
POINTS	63.2	3700
LOWEST	260.1	0
POINTS	260.1	17200
LOWEST	755.76	0
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	433.56	0
POINTS	433.56	27000
LOWEST	600.26	0
POINTS	600.26	38000
LOWEST	221.2	0
POINTS	221.2	16600
LOWEST	254.29	0
POINTS	254.29	17800
LOWEST	339.82	0
POINTS	339.82	30000
LOWEST	113.2	0
POINTS	113.2	7400
LOWEST	724.16	0
POINTS	724.16	51600
LOWEST	173.2	0
POINTS	173.2	11800
LOWEST	366.26	0
POINTS	366.26	22000
LOWEST	145.1	0
POINTS	145.1	6900
LOWEST	269.49	0
POINTS	269.49	19000
LOWEST	672.26	0
POINTS	672.26	47400
LOWEST	540.8	0
POINTS	540.8	34600
LOWEST	176.1	0
POINTS	176.1	7800
LOWEST	152.2	0
POINTS	152.2	10300
LOWEST	1170.16	0
POINTS	1170.16	99500
LOWEST	330.44	0
POINTS	330.44	30200
LOWEST	251.1	0
POINTS	251.1	17600
LOWEST	202.8	0
POINTS	202.8	14000
LOWEST	221.19	0
POINTS	221.19	15400
LOWEST	263.4	0
POINTS	263.4	15200
LOWEST	304.6	0
POINTS	304.6	24000
LOWEST	922.96	0
POINTS	922.96	89600
LOWEST	445.96	0
POINTS	445.96	27800
LOWEST	226.1	0
POINTS	226.1	13600
LOWEST	406.46	0
POINTS	406.46	36600
LOWEST	496.05	0
POINTS	496.05	38600
LOWEST	407.8	0
POINTS	407.8	26000
LOWEST	169	0
LOWEST	567.59	0
POINTS	567.59	42400
LOWEST	209.21	0
POINTS	209.21	14500
LOWEST	246.24	0
POINTS	246.24	17200
LOWEST	266.04	0
POINTS	266.04	18700
LOWEST	205.2	0
POINTS	205.2	16700
LOWEST	295.69	0
POINTS	295.69	20900
LOWEST	186.46	0
POINTS	186.46	6100
LOWEST	304.2	0
POINTS	304.2	27700
LOWEST	138.82	0
POINTS	138.82	6300
LOWEST	133.79	0
POINTS	133.79	8900
LOWEST	186.2	0
POINTS	186.2	12800
LOWEST	345.4	0
POINTS	295.21	22500
LOWEST	104.82	0
POINTS	104.82	3800
LOWEST	155.65	0
POINTS	155.65	10500
LOWEST	147.2	0
POINTS	147.2	9900
LOWEST	224.64	0
POINTS	224.64	15600
LOWEST	301.7	0
POINTS	301.7	23000
LOWEST	507.46	0
POINTS	507.46	49800
LOWEST	991.26	0
POINTS	991.26	87100
POINTS	649.29	63400
LOWEST	238.96	0
POINTS	238.96	7800
LOWEST	39.2	0
POINTS	39.2	1900
LOWEST	473.91	0
POINTS	473.91	36600
LOWEST	197.55	0
POINTS	197.55	16300
LOWEST	556.76	0
POINTS	556.76	33000
LOWEST	561.89	0
POINTS	561.89	42300
LOWEST	376.06	0
POINTS	376.06	19700
LOWEST	514.86	0
POINTS	514.86	37400
LOWEST	179.2	0
POINTS	179.2	12300
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	276.39	0
POINTS	276.39	22800
LOWEST	289.3	0
POINTS	289.3	17600
LOWEST	343.99	0
POINTS	343.99	26400
LOWEST	126.2	0
POINTS	126.2	8300
LOWEST	732.33	0
POINTS	732.33	60100
LOWEST	410.69	0
POINTS	410.69	37800
LOWEST	384.46	0
POINTS	384.46	34300
LOWEST	228.2	0
POINTS	228.2	15900
LOWEST	842.16	0
POINTS	842.16	67500
LOWEST	124.2	0
POINTS	124.2	8200
LOWEST	209.96	0
POINTS	209.96	10300
LOWEST	193.05	0
POINTS	193.05	16300
LOWEST	341.16	0
POINTS	341.16	16000
LOWEST	508.46	0
POINTS	508.46	32400
LOWEST	166.1	0
POINTS	166.1	10300
LOWEST	187.2	0
POINTS	187.2	12900
LOWEST	108.7	0
POINTS	108.7	7400
LOWEST	261.2	0
POINTS	261.2	19800
LOWEST	391.1	0
POINTS	391.1	25800
LOWEST	39.2	0
POINTS	39.2	1900
LOWEST	164.19	0
POINTS	164.19	11200
LOWEST	287.2	0
POINTS	287.2	21900
LOWEST	63.2	0
POINTS	63.2	3700
LOWEST	99.2	0
POINTS	99.2	6300
LOWEST	464.8	0
POINTS	464.8	34000
LOWEST	254.29	0
POINTS	254.29	17800
LOWEST	90.1	0
POINTS	90.1	4600
LOWEST	449.2	0
POINTS	449.2	41500
LOWEST	176.34	0
POINTS	176.34	12100
LOWEST	172.2	0
POINTS	172.2	11800
LOWEST	154.2	0
POINTS	154.2	10400
LOWEST	48.2	0
POINTS	48.2	2600
LOWEST	167.2	0
POINTS	167.2	11400
LOWEST	475.2	0
POINTS	475.2	44000
LOWEST	448.2	0
POINTS	448.2	45700
LOWEST	317.54	0
POINTS	317.54	22500
LOWEST	169.2	0
POINTS	169.2	11500
LOWEST	287.39	0
